date,corridor,rate
2025-01-01,USD/INR,83.09934283060224
2025-01-02,USD/INR,82.97234713976576
2025-01-03,USD/INR,83.12953770762014
2025-01-04,USD/INR,83.3046059712816
2025-01-05,USD/INR,82.95316932505533
2025-01-06,USD/INR,82.95317260861016
2025-01-07,USD/INR,83.31584256310148
2025-01-08,USD/INR,83.15348694583058
2025-01-09,USD/INR,82.906105122813
2025-01-10,USD/INR,83.1085120087172
2025-01-11,USD/INR,82.9073164614375
2025-01-12,USD/INR,82.90685404928595
2025-01-13,USD/INR,83.0483924543132
2025-01-14,USD/INR,82.61734395106843
2025-01-15,USD/INR,82.6550164334974
2025-01-16,USD/INR,82.8875424941518
2025-01-17,USD/INR,82.79743377593311
2025-01-18,USD/INR,83.06284946651905
2025-01-19,USD/INR,82.81839518489576
2025-01-20,USD/INR,82.71753925973294
2025-01-21,USD/INR,83.29312975378431
2025-01-22,USD/INR,82.9548447399027
2025-01-23,USD/INR,83.01350564093758
2025-01-24,USD/INR,82.71505036275731
2025-01-25,USD/INR,82.89112345509497
2025-01-26,USD/INR,83.02218451794198
2025-01-27,USD/INR,82.76980128451554
2025-01-28,USD/INR,83.07513960366913
2025-01-29,USD/INR,82.87987226201624
2025-01-30,USD/INR,82.94166125004135
2025-01-31,USD/INR,82.87965867755412
2025-02-01,USD/INR,83.37045563690178
2025-02-02,USD/INR,82.99730055505242
2025-02-03,USD/INR,82.78845781420883
2025-02-04,USD/INR,83.16450898242064
2025-02-05,USD/INR,82.7558312700058
2025-02-06,USD/INR,83.04177271900095
2025-02-07,USD/INR,82.60806597522405
2025-02-08,USD/INR,82.73436279022032
2025-02-09,USD/INR,83.03937224717383
2025-02-10,USD/INR,83.14769331599908
2025-02-11,USD/INR,83.034273656238
2025-02-12,USD/INR,82.97687034352235
2025-02-13,USD/INR,82.93977926088215
2025-02-14,USD/INR,82.70429560192652
2025-02-15,USD/INR,82.85603115832106
2025-02-16,USD/INR,82.90787224580804
2025-02-17,USD/INR,83.21142444524378
2025-02-18,USD/INR,83.0687236579137
2025-02-19,USD/INR,82.64739196892745
2025-02-20,USD/INR,83.06481679387896
2025-02-21,USD/INR,82.92298354391674
2025-02-22,USD/INR,82.8646155999388
2025-02-23,USD/INR,83.12233525776817
2025-02-24,USD/INR,83.20619990449919
2025-02-25,USD/INR,83.18625602382323
2025-02-26,USD/INR,82.83215649535548
2025-02-27,USD/INR,82.93815752482976
2025-02-28,USD/INR,83.06625268628072
2025-03-01,USD/INR,83.19510902542447
2025-03-02,USD/INR,82.90416515243095
2025-03-03,USD/INR,82.96286820466723
2025-03-04,USD/INR,82.77873300519879
2025-03-05,USD/INR,82.76075867518387
2025-03-06,USD/INR,83.16250516447884
2025-03-07,USD/INR,83.27124800571417
2025-03-08,USD/INR,82.98559797568393
2025-03-09,USD/INR,83.20070657957841
2025-03-10,USD/INR,83.07232720500953
2025-03-11,USD/INR,82.87097604907898
2025-03-12,USD/INR,83.07227912110169
2025-03-13,USD/INR,83.30760731329319
2025-03-14,USD/INR,82.99283479217802
2025-03-15,USD/INR,83.3129287311628
2025-03-16,USD/INR,82.47605097918205
2025-03-17,USD/INR,83.16438050087504
2025-03-18,USD/INR,83.01740941364764
2025-03-19,USD/INR,82.94019852990682
2025-03-20,USD/INR,83.0183521553071
2025-03-21,USD/INR,82.60248621707981
2025-03-22,USD/INR,82.9560656224325
2025-03-23,USD/INR,83.07142251430236
2025-03-24,USD/INR,83.2955788089483
2025-03-25,USD/INR,82.89634595634527
2025-03-26,USD/INR,82.83830127942136
2025-03-27,USD/INR,82.8996485912831
2025-03-28,USD/INR,83.18308042354042
2025-03-29,USD/INR,83.06575022193194
2025-03-30,USD/INR,82.89404795924659
2025-03-31,USD/INR,83.10265348662267
2025-04-01,USD/INR,83.0194155098696
2025-04-02,USD/INR,83.19372899810658
2025-04-03,USD/INR,82.85958938122452
2025-04-04,USD/INR,82.93446757068044
2025-04-05,USD/INR,82.92157836937356
2025-04-06,USD/INR,82.70729701037358
2025-04-07,USD/INR,83.05922405541291
2025-04-08,USD/INR,83.05221105443597
2025-04-09,USD/INR,83.00102269132849
2025-04-10,USD/INR,82.95308257332498
2025-04-11,USD/INR,82.71692585158992
2025-04-12,USD/INR,82.91587093544693
2025-04-13,USD/INR,82.93145709669464
2025-04-14,USD/INR,82.83954454615568
2025-04-15,USD/INR,82.96774285766679
2025-04-16,USD/INR,83.08081017136291
2025-04-17,USD/INR,83.3772371802421
2025-04-18,USD/INR,83.03491556256637
2025-04-19,USD/INR,83.05151007814456
2025-04-20,USD/INR,82.98511081684677
2025-04-21,USD/INR,82.61624575694019
2025-04-22,USD/INR,82.99469722491015
2025-04-23,USD/INR,83.0120460419882
2025-04-24,USD/INR,83.49264842249706
2025-04-25,USD/INR,82.96152780704378
2025-04-26,USD/INR,83.06030946846673
2025-04-27,USD/INR,82.99305764605896
2025-04-28,USD/INR,82.76626439247609
2025-04-29,USD/INR,83.228564562903
2025-04-30,USD/INR,83.15038660653735
2025-05-01,USD/INR,83.1582063894086
2025-05-02,USD/INR,82.81812250904105
2025-05-03,USD/INR,83.28055886218722
2025-05-04,USD/INR,82.71962978744155
2025-05-05,USD/INR,83.11737141876006
2025-05-06,USD/INR,83.43809112516199
2025-05-07,USD/INR,82.80189273497386
2025-05-08,USD/INR,82.88674045407944
2025-05-09,USD/INR,83.01993027301752
2025-05-10,USD/INR,82.89930486917676
2025-05-11,USD/INR,82.68986731378678
2025-05-12,USD/INR,83.0137125949612
2025-05-13,USD/INR,82.78753925725478
2025-05-14,USD/INR,83.09471848612704
2025-05-15,USD/INR,82.81611515315323
2025-05-16,USD/INR,83.30998688100351
2025-05-17,USD/INR,82.84334934153276
2025-05-18,USD/INR,82.93558769675886
2025-05-19,USD/INR,83.16270344347393
2025-05-20,USD/INR,82.75382713671321
2025-05-21,USD/INR,83.04549198692082
2025-05-22,USD/INR,83.26142855085648
2025-05-23,USD/INR,82.67850335308775
2025-05-24,USD/INR,83.03692677170646
2025-05-25,USD/INR,83.05197655884969
2025-05-26,USD/INR,83.15636457435546
2025-05-27,USD/INR,82.75260985782438
2025-05-28,USD/INR,82.73590867738315
2025-05-29,USD/INR,83.10438831312338
2025-05-30,USD/INR,83.05939693464664
2025-05-31,USD/INR,83.05009857006918
2025-06-01,USD/INR,83.06928964189939
2025-06-02,USD/INR,82.8639950556843
2025-06-03,USD/INR,83.0464507394322
2025-06-04,USD/INR,83.05861449465974
2025-06-05,USD/INR,82.85712971639472
2025-06-06,USD/INR,83.37315490222895
2025-06-07,USD/INR,83.09476658418235
2025-06-08,USD/INR,82.76173930055947
2025-06-09,USD/INR,83.13131072172676
2025-06-10,USD/INR,82.80506366595453
2025-06-11,USD/INR,83.15741692074849
2025-06-12,USD/INR,83.23171911580148
2025-06-13,USD/INR,82.83586353632965
2025-06-14,USD/INR,83.19267522584886
2025-06-15,USD/INR,83.0825561853873
2025-06-16,USD/INR,83.16441203199889
2025-06-17,USD/INR,83.37935859653079
2025-06-18,USD/INR,82.95092237679943
2025-06-19,USD/INR,82.8492527671285
2025-06-20,USD/INR,82.8220971140749
2025-06-21,USD/INR,82.83683794300691
2025-06-22,USD/INR,82.98457965811718
2025-06-23,USD/INR,83.06823039496332
2025-06-24,USD/INR,83.055338159866
2025-06-25,USD/INR,83.1654366498072
2025-06-26,USD/INR,83.00260037837558
2025-06-27,USD/INR,83.29070681543146
2025-06-28,USD/INR,82.94706863335242
2025-06-29,USD/INR,83.54403383331793
2025-06-30,USD/INR,83.125133469553
2025-07-01,USD/INR,82.82856848871674
2025-07-02,USD/INR,82.78582150038778
2025-07-03,USD/INR,83.09649448304863
2025-07-04,USD/INR,82.95530744293482
2025-07-05,USD/INR,83.14280009881841
2025-07-06,USD/INR,83.0946475249147
2025-07-07,USD/INR,82.98543421746862
2025-07-08,USD/INR,82.83064125638631
2025-07-09,USD/INR,82.69703055506282
2025-07-10,USD/INR,82.9106970095866
2025-07-11,USD/INR,83.1712797588647
2025-07-12,USD/INR,83.04281874882604
2025-07-13,USD/INR,82.7508522442576
2025-07-14,USD/INR,83.03463618517024
2025-07-15,USD/INR,83.07706347594576
2025-07-16,USD/INR,82.82322851275977
2025-07-17,USD/INR,83.0307450211891
2025-07-18,USD/INR,83.0116417436892
2025-07-19,USD/INR,82.77140594043388
2025-07-20,USD/INR,83.07155747206966
2025-07-21,USD/INR,83.11215690527365
2025-07-22,USD/INR,83.21661024863505
2025-07-23,USD/INR,83.21076041040698
2025-07-24,USD/INR,82.72446612640859
2025-07-25,USD/INR,82.81243499201697
2025-07-26,USD/INR,83.10300705344173
2025-07-27,USD/INR,83.10275719018244
2025-07-28,USD/INR,83.10300953726122
2025-07-29,USD/INR,83.77054629813094
