date,corridor,volume_usd,fx_rate,net_revenue_0.015,net_revenue_0.02,net_revenue_0.025
2025-01-01,USD/INR,995964.1709945708,83.09934283060224,14939.462564918562,19919.283419891417,24899.104274864272
2025-01-02,USD/INR,1003931.7595158045,82.97234713976576,15058.976392737066,20078.63519031609,25098.293987895115
2025-01-03,USD/INR,900089.9657733946,83.12953770762014,13501.349486600919,18001.79931546789,22502.249144334866
2025-01-04,USD/INR,1045816.383735124,83.3046059712816,15687.24575602686,20916.32767470248,26145.409593378103
2025-01-05,USD/INR,1017324.4237948996,82.95316932505533,15259.866356923494,20346.488475897993,25433.11059487249
2025-01-06,USD/INR,1049900.5054929827,82.95317260861016,15748.507582394739,20998.010109859653,26247.51263732457
2025-01-07,USD/INR,855187.2310903155,83.31584256310148,12827.808466354732,17103.74462180631,21379.68077725789
2025-01-08,USD/INR,1104418.7352390364,83.15348694583058,16566.281028585545,22088.374704780726,27610.46838097591
2025-01-09,USD/INR,993020.5185922413,82.906105122813,14895.30777888362,19860.410371844828,24825.512964806036
2025-01-10,USD/INR,1055409.140836876,83.1085120087172,15831.137112553137,21108.182816737517,26385.228520921897
2025-01-11,USD/INR,948004.7036437235,82.9073164614375,14220.070554655853,18960.09407287447,23700.11759109309
2025-01-12,USD/INR,1030638.6952531285,82.90685404928595,15459.580428796928,20612.77390506257,25765.967381328213
2025-01-13,USD/INR,947329.2218413171,83.0483924543132,14209.938327619757,18946.584436826342,23683.23054603293
2025-01-14,USD/INR,968811.5519652098,82.61734395106843,14532.173279478146,19376.231039304195,24220.288799130245
2025-01-15,USD/INR,1095701.5676933392,82.6550164334974,16435.523515400087,21914.031353866783,27392.539192333483
2025-01-16,USD/INR,990465.8799618327,82.8875424941518,14856.98819942749,19809.317599236652,24761.646999045817
2025-01-17,USD/INR,1010871.6436589862,82.79743377593311,15163.074654884793,20217.432873179725,25271.791091474657
2025-01-18,USD/INR,1043503.3865344378,83.06284946651905,15652.550798016566,20870.067730688756,26087.584663360947
2025-01-19,USD/INR,1024784.0943986302,82.81839518489576,15371.761415979452,20495.681887972605,25619.602359965756
2025-01-20,USD/INR,1007520.9452571789,82.71753925973294,15112.814178857683,20150.41890514358,25188.023631429474
2025-01-21,USD/INR,1018248.0501233112,83.29312975378431,15273.720751849667,20364.961002466225,25456.20125308278
2025-01-22,USD/INR,1120170.7792619138,82.9548447399027,16802.56168892871,22403.41558523828,28004.269481547846
2025-01-23,USD/INR,997119.0601483207,83.01350564093758,14956.78590222481,19942.381202966415,24927.97650370802
2025-01-24,USD/INR,1010054.9523357484,82.71505036275731,15150.824285036224,20201.099046714968,25251.37380839371
2025-01-25,USD/INR,1052532.7198003805,82.89112345509497,15787.990797005707,21050.654396007612,26313.317995009515
2025-01-26,USD/INR,1055276.296647899,83.02218451794198,15829.144449718486,21105.525932957982,26381.90741619748
2025-01-27,USD/INR,1059351.515278019,82.76980128451554,15890.272729170285,21187.03030556038,26483.787881950477
2025-01-28,USD/INR,1031936.5111014593,83.07513960366913,15479.047666521888,20638.730222029186,25798.412777536483
2025-01-29,USD/INR,942849.7543634758,82.87987226201624,14142.746315452137,18856.995087269515,23571.2438590869
2025-01-30,USD/INR,1081671.5766150549,82.94166125004135,16225.073649225822,21633.431532301096,27041.789415376374
2025-01-31,USD/INR,942682.7303490656,82.87965867755412,14140.240955235984,18853.654606981312,23567.068258726642
2025-02-01,USD/INR,1015131.7732619516,83.37045563690178,15226.976598929274,20302.635465239033,25378.294331548794
2025-02-02,USD/INR,962286.2074990321,82.99730055505242,14434.293112485482,19245.724149980644,24057.155187475804
2025-02-03,USD/INR,996793.0826703503,82.78845781420883,14951.896240055254,19935.861653407006,24919.82706675876
2025-02-04,USD/INR,1016438.120515174,83.16450898242064,15246.571807727609,20328.76241030348,25410.953012879352
2025-02-05,USD/INR,1016067.8607725137,82.7558312700058,15241.017911587704,20321.357215450273,25401.69651931284
2025-02-06,USD/INR,1021096.0377117642,83.04177271900095,15316.440565676463,20421.920754235285,25527.400942794106
2025-02-07,USD/INR,1080685.5634529323,82.60806597522405,16210.283451793985,21613.711269058647,27017.13908632331
2025-02-08,USD/INR,1022676.715075699,82.73436279022032,15340.150726135485,20453.53430151398,25566.917876892476
2025-02-09,USD/INR,987792.1682354675,83.03937224717383,14816.882523532013,19755.84336470935,24694.80420588669
2025-02-10,USD/INR,1048204.3584144178,83.14769331599908,15723.065376216267,20964.087168288355,26205.10896036045
2025-02-11,USD/INR,1059473.524446232,83.034273656238,15892.10286669348,21189.470488924642,26486.8381111558
2025-02-12,USD/INR,938619.6092431503,82.97687034352235,14079.294138647254,18772.39218486301,23465.49023107876
2025-02-13,USD/INR,1029870.003492493,82.93977926088215,15448.050052387394,20597.40006984986,25746.750087312324
2025-02-14,USD/INR,1035058.6371155449,82.70429560192652,15525.879556733173,20701.172742310897,25876.465927888625
2025-02-15,USD/INR,985121.8248320004,82.85603115832106,14776.827372480006,19702.43649664001,24628.04562080001
2025-02-16,USD/INR,1068785.340665581,82.90787224580804,16031.780109983714,21375.70681331162,26719.633516639526
2025-02-17,USD/INR,992497.2206483737,83.21142444524378,14887.458309725605,19849.944412967474,24812.430516209344
2025-02-18,USD/INR,1006278.8226735771,83.0687236579137,15094.182340103656,20125.57645347154,25156.97056683943
2025-02-19,USD/INR,991346.4087858065,82.64739196892745,14870.196131787097,19826.92817571613,24783.660219645164
2025-02-20,USD/INR,1000778.9523790734,83.06481679387896,15011.6842856861,20015.57904758147,25019.473809476836
2025-02-21,USD/INR,945186.2456552399,82.92298354391674,14177.793684828599,18903.724913104797,23629.656141380998
2025-02-22,USD/INR,927997.4558702853,82.8646155999388,13919.961838054278,18559.949117405708,23199.936396757133
2025-02-23,USD/INR,1079725.2531612485,83.12233525776817,16195.878797418727,21594.50506322497,26993.131329031214
2025-02-24,USD/INR,957651.9325840836,83.20619990449919,14364.778988761254,19153.038651681672,23941.298314602092
2025-02-25,USD/INR,950430.3825271847,83.18625602382323,14256.455737907769,19008.607650543694,23760.759563179618
2025-02-26,USD/INR,892330.4943198143,82.83215649535548,13384.957414797213,17846.609886396287,22308.262357995358
